ticker,cik,accession_number,period_end,form_type,status,sections_located,sections_total,fill_rate,attempts,last_error,updated_at
CAT,18230,0000018230-25-000016,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-25-000040,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-25-000048,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-26-000008,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CAT,18230,0000018230-26-000021,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:12Z
CCL,815097,0000815097-25-000025,2025-02-28,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-25-000052,2025-05-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-25-000084,2025-08-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-26-000007,2025-11-30,10-K,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CCL,815097,0000815097-26-000037,2026-02-28,10-Q,committed,3,3,1.00,0,,2026-06-13T00:22:58Z
CDNS,813672,0000813672-25-000051,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-25-000113,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-25-000148,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-26-000016,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDNS,813672,0000813672-26-000047,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-25-000096,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-25-000145,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-25-000193,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-26-000011,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CDW,1402057,0001402057-26-000025,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T00:23:00Z
CEG,1868275,0001868275-25-000044,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-25-000073,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-25-000092,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-26-000032,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CEG,1868275,0001868275-26-000067,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-25-000015,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-25-000024,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-25-000030,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-26-000007,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CF,1324404,0001324404-26-000013,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T06:21:22Z
CHD,313927,0000950170-25-061624,2025-03-31,10-Q,staged,3,3,1.00,0,,2026-06-13T06:21:22Z
CHD,313927,0000950170-25-101235,2025-06-30,10-Q,staged,2,3,0.35,0,,2026-06-13T06:21:22Z
CHD,313927,0001193125-25-260515,2025-09-30,10-Q,staged,2,3,0.31,0,,2026-06-13T06:21:22Z
CHD,313927,0001193125-26-048139,2025-12-31,10-K,staged,3,3,1.00,0,,2026-06-13T06:21:22Z
CHD,313927,0001193125-26-200630,2026-03-31,10-Q,staged,2,3,0.31,0,,2026-06-13T06:21:22Z
CHRW,1043277,0001043277-25-000022,2025-03-31,10-Q,staged,3,3,1.00,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-25-000037,2025-06-30,10-Q,staged,2,3,0.00,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-25-000052,2025-09-30,10-Q,staged,2,3,0.00,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-26-000009,2025-12-31,10-K,staged,2,3,0.20,0,,2026-06-13T12:20:57Z
CHRW,1043277,0001043277-26-000016,2026-03-31,10-Q,staged,2,3,0.00,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-25-000099,2025-03-31,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-25-000127,2025-06-30,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-25-000168,2025-09-30,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-26-000017,2025-12-31,10-K,staged,3,3,1.00,0,,2026-06-13T12:20:57Z
CHTR,1091667,0001091667-26-000028,2026-03-31,10-Q,staged,2,3,0.21,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-25-000021,2025-03-31,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-25-000028,2025-06-30,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-25-000037,2025-09-30,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-26-000006,2025-12-31,10-K,staged,3,3,1.00,0,,2026-06-13T12:20:57Z
CI,1739940,0001739940-26-000043,2026-03-31,10-Q,staged,2,3,0.43,0,,2026-06-13T12:20:57Z
CL,21665,0000021665-25-000020,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-25-000041,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-25-000053,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-26-000006,2025-12-31,10-K,committed,2,3,0.21,0,,2026-06-13T18:16:44Z
CL,21665,0000021665-26-000023,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:44Z
CLX,21076,0000021076-25-000023,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-25-000039,2025-06-30,10-K,committed,1,3,0.04,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-25-000053,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-26-000010,2025-12-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CLX,21076,0000021076-26-000019,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001166691-25-000021,2025-03-31,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001166691-25-000036,2025-06-30,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001166691-25-000054,2025-09-30,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001628280-26-004994,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-13T18:16:45Z
CMCSA,1166691,0001628280-26-026805,2026-03-31,10-Q,committed,3,3,n/a,0,,2026-06-13T18:16:45Z
CMG,1058090,0001058090-25-000031,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:38Z
CMG,1058090,0001058090-25-000056,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-14T00:19:38Z
