timestamp,ticker,cik,reason,severity,filing_date,form_type,config_path,status
2026-05-22T08:54:17Z,GOOGL,1652044,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 17 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/googl.yaml,open
2026-05-22T08:54:32Z,MO,764180,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 80 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/mo.yaml,open
2026-05-22T08:55:19Z,AMCR,1748790,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 25 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amcr.yaml,open
2026-05-22T09:01:19Z,ADP,8670,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/adp.yaml,open
2026-05-22T09:01:58Z,AVY,8818,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; LLM identified 6 key fields",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/avy.yaml,open
2026-05-22T09:03:07Z,BDX,10795,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 35 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/bdx.yaml,open
2026-05-25T09:50:52Z,CPB,16732,No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments; 11 note headings found,warning,2026-02-01,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cpb.yaml,open
2026-05-25T09:52:07Z,CDW,1402057,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,error,2026-03-31,10-Q,,open
2026-05-25T09:53:28Z,CMG,1058090,No derivatives/market risk sections found; 5 note headings found; Warning: No derivatives/market risk sections found in filing text,error,2026-03-31,10-Q,,open
2026-05-25T09:53:48Z,CHD,313927,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/chd.yaml,open
2026-05-25T09:54:47Z,CLX,21076,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/clx.yaml,open
2026-05-25T09:55:33Z,CL,21665,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cl.yaml,open
2026-05-25T09:57:21Z,COO,711404,No derivatives/market risk sections found; 40 note headings found; Warning: No derivatives/market risk sections found in filing text,error,2026-01-31,10-Q,,open
2026-05-25T09:59:20Z,CMI,26172,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; LLM identified 9 key fields",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cmi.yaml,open
2026-05-25T09:59:55Z,DRI,940944,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; LLM identified 11 key fields",warning,2026-02-22,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dri.yaml,open
