ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
CI,Cigna,1739940,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ci.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CTAS,Cintas,723254,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ctas.yaml,2026-06-03T10:44:41Z,2026-02-28,,0,
CSCO,Cisco,858877,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/csco.yaml,2026-06-03T10:44:41Z,2026-04-25,,0,
CLX,Clorox,21076,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/clx.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CMS,CMS Energy,811156,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cms.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
KO,Coca-Cola Company (The),21344,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ko.yaml,2026-06-03T10:44:41Z,2026-04-03,,0,
CTSH,Cognizant,1058290,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ctsh.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CL,Colgate-Palmolive,21665,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cl.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CMCSA,Comcast,1166691,Communication Services,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cmcsa.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FIX,Comfort Systems USA,1035983,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/fix.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CAG,Conagra Brands,23217,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cag.yaml,2026-06-03T10:44:41Z,2026-02-22,,0,
COP,ConocoPhillips,1163165,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cop.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ED,Consolidated Edison,1047862,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ed.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
STZ,Constellation Brands,16918,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/stz.yaml,2026-06-03T10:44:41Z,2026-02-28,,0,
CEG,Constellation Energy,1868275,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ceg.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
COO,Cooper Companies (The),711404,Health Care,failed_activation,,,2026-06-10T09:08:13Z,2026-04-30,,1,
